image,class,confidence,x1,y1,x2,y2
1P9A1048.JPG,tv,0.9228430390357971,2695.832763671875,1951.766357421875,3583.2890625,2907.811279296875
1P9A1048.JPG,keyboard,0.8834623694419861,2597.80126953125,3140.129638671875,3170.342041015625,3500.5068359375
1P9A1048.JPG,mouse,0.8794777393341064,2993.917236328125,3078.600341796875,3253.13916015625,3186.662841796875
1P9A1048.JPG,chair,0.8437454104423523,3593.09814453125,2625.940185546875,5519.873046875,4716.919921875
1P9A1048.JPG,tv,0.8201162815093994,2039.9732666015625,2075.26904296875,2750.073486328125,3340.1044921875
1P9A1048.JPG,bottle,0.7383379340171814,2361.079833984375,3760.20166015625,2518.764404296875,4218.490234375
1P9A1048.JPG,cell phone,0.6548468470573425,3175.03955078125,3275.1875,3558.85205078125,3369.34228515625
1P9A1049.JPG,bottle,0.9069319367408752,5309.56689453125,3417.56396484375,5485.501953125,4022.06201171875
1P9A1049.JPG,bottle,0.8943709135055542,5071.87841796875,3368.711181640625,5265.29638671875,3964.842041015625
1P9A1049.JPG,bottle,0.8871310353279114,4314.54052734375,3317.783447265625,4536.748046875,3976.0947265625
1P9A1049.JPG,oven,0.8856148719787598,1879.153564453125,3742.528076171875,3985.870361328125,5430.22705078125
1P9A1049.JPG,bottle,0.8631309866905212,4595.51806640625,3421.627197265625,4763.1337890625,4024.667724609375
1P9A1049.JPG,bottle,0.8055092692375183,6768.828125,1859.29248046875,6933.2021484375,2332.96826171875
1P9A1049.JPG,bowl,0.7860275506973267,4080.404052734375,1325.6146240234375,4653.5439453125,1603.6187744140625
1P9A1049.JPG,microwave,0.7719506025314331,2056.135498046875,1833.2034912109375,3847.64990234375,2854.871337890625
1P9A1049.JPG,bottle,0.7670921087265015,5234.2939453125,2352.516357421875,5357.61474609375,2792.9013671875
1P9A1049.JPG,bottle,0.7554421424865723,7378.591796875,3625.1015625,7623.8603515625,4133.74658203125
1P9A1049.JPG,sink,0.7488372325897217,5781.0947265625,3865.25830078125,7197.9208984375,4128.29052734375
1P9A1049.JPG,bottle,0.7405079007148743,5134.14208984375,2413.99951171875,5261.33056640625,2807.35302734375
1P9A1049.JPG,bowl,0.6742920279502869,4937.2001953125,2062.223876953125,5466.8876953125,2203.519775390625
1P9A1049.JPG,bowl,0.6725066900253296,6464.80419921875,2286.434326171875,6754.8896484375,2433.80419921875
1P9A1049.JPG,bottle,0.6618690490722656,4846.56689453125,2475.166259765625,4977.125,2816.90478515625
1P9A1049.JPG,bottle,0.6496276259422302,5015.484375,2537.932373046875,5131.70947265625,2815.71240234375
1P9A1049.JPG,bottle,0.6430594325065613,7296.47412109375,3480.0712890625,7503.4091796875,4031.262939453125
1P9A1049.JPG,bottle,0.5890636444091797,5554.18994140625,3437.16455078125,5824.82470703125,4053.45263671875
1P9A1049.JPG,banana,0.5413264632225037,4177.9365234375,2755.811279296875,4529.77490234375,2837.13623046875
1P9A1049.JPG,oven,0.3800037205219269,4170.07666015625,4311.9248046875,5806.0107421875,5442.9375
1P9A1049.JPG,bottle,0.354671835899353,4496.2294921875,2352.9423828125,4624.7138671875,2636.02099609375
1P9A1049.JPG,bottle,0.3446435034275055,4035.7021484375,2609.134033203125,4142.63037109375,2831.56591796875
1P9A1049.JPG,bottle,0.285551518201828,4383.28466796875,2346.4208984375,4619.9775390625,2819.74365234375
1P9A1049.JPG,bowl,0.2570716142654419,4270.72998046875,1998.452880859375,4673.078125,2211.722412109375
