image,class,confidence,x1,y1,x2,y2
1P9A1048.JPG,chair,0.926446795463562,3529.75390625,2440.70849609375,6073.04150390625,5435.6240234375
1P9A1048.JPG,tv,0.8257051706314087,2041.3238525390625,1952.115966796875,3592.75,3282.447998046875
1P9A1049.JPG,oven,0.8483338952064514,1887.9058837890625,3671.68359375,4014.793701171875,5434.1181640625
1P9A1049.JPG,microwave,0.7922585606575012,2060.26513671875,2030.572265625,3850.076904296875,2859.74169921875
1P9A1049.JPG,bottle,0.7322372198104858,5301.1826171875,3407.065673828125,5502.7841796875,4018.317138671875
1P9A1049.JPG,bottle,0.6814393401145935,4310.3330078125,3318.343017578125,4539.77197265625,3974.31005859375
1P9A1049.JPG,bowl,0.6659059524536133,4266.2900390625,1990.591796875,4667.18505859375,2213.96728515625
1P9A1049.JPG,bowl,0.6443887948989868,6467.7939453125,2290.421875,6737.6845703125,2424.11962890625
1P9A1049.JPG,refrigerator,0.5412085056304932,7801.6845703125,1855.5999755859375,8190.4814453125,5408.8623046875
1P9A1049.JPG,bottle,0.5149498581886292,4454.9716796875,2349.55224609375,4648.06201171875,2831.13916015625
