image_id,split,bottle_count,source_url,original_url,landing_url,license,author,title
554fd125a75491c5,train,1,https://open-images-dataset.s3.amazonaws.com/validation/554fd125a75491c5.jpg,https://farm6.staticflickr.com/7137/7846438062_cba16c9d5f_o.jpg,https://www.flickr.com/photos/bluegenieart/7846438062,https://creativecommons.org/licenses/by/2.0/,Blue Genie,Tejano Capital Monument 55
7e07848e1c0bffdd,train,1,https://open-images-dataset.s3.amazonaws.com/validation/7e07848e1c0bffdd.jpg,https://c6.staticflickr.com/3/2810/9703144439_24135f2c58_o.jpg,https://www.flickr.com/photos/chrisfp/9703144439,https://creativecommons.org/licenses/by/2.0/,Chris,Colin Yates Big Band (3)
a2364c31de73114d,train,5,https://open-images-dataset.s3.amazonaws.com/validation/a2364c31de73114d.jpg,https://c6.staticflickr.com/3/2409/2127191649_3093120dfa_o.jpg,https://www.flickr.com/photos/timwilson/2127191649,https://creativecommons.org/licenses/by/2.0/,Tim Wilson,The gift that keeps on giving
3d3324b8ac298d83,train,1,https://open-images-dataset.s3.amazonaws.com/validation/3d3324b8ac298d83.jpg,https://farm4.staticflickr.com/3059/3090313054_315ab2272a_o.jpg,https://www.flickr.com/photos/beckmann/3090313054/,https://creativecommons.org/licenses/by/2.0/,Elin B,Vintage Bollinger
d90df9e98df1fc17,train,1,https://open-images-dataset.s3.amazonaws.com/validation/d90df9e98df1fc17.jpg,https://farm8.staticflickr.com/4106/5140850299_05635dfea3_o.jpg,https://www.flickr.com/photos/cig/5140850299,https://creativecommons.org/licenses/by/2.0/,Tim Cigelske,Lagunitas A Little Sumpin' Wild Ale
c4e1dfa2575bfd4e,train,4,https://open-images-dataset.s3.amazonaws.com/validation/c4e1dfa2575bfd4e.jpg,https://c7.staticflickr.com/9/8243/8506502894_722914c9d8_o.jpg,https://www.flickr.com/photos/provoost/8506502894/,https://creativecommons.org/licenses/by/2.0/,Sjors Provoost,Chinese and Mongolian wodka
7d3ed25abc40bbd4,train,1,https://open-images-dataset.s3.amazonaws.com/validation/7d3ed25abc40bbd4.jpg,https://farm5.staticflickr.com/5241/5315801642_dea08a7bbf_o.jpg,https://www.flickr.com/photos/pftqg/5315801642,https://creativecommons.org/licenses/by/2.0/,Patrick Quinn-Graham,New Years Eve Feast
16407cf2533cf584,train,1,https://open-images-dataset.s3.amazonaws.com/validation/16407cf2533cf584.jpg,https://farm5.staticflickr.com/2734/4348296854_49bbd24dc7_o.jpg,https://www.flickr.com/photos/bigburpsx3/4348296854,https://creativecommons.org/licenses/by/2.0/,Andy Nguyen,cK
c951d0723132bfdd,train,2,https://open-images-dataset.s3.amazonaws.com/validation/c951d0723132bfdd.jpg,https://c6.staticflickr.com/1/499/19983704565_6d44da5d90_o.jpg,https://www.flickr.com/photos/satterwhitec/19983704565,https://creativecommons.org/licenses/by/2.0/,Clint Satterwhite,O50A0307_HDR
5d6db82b8eeb448f,train,1,https://open-images-dataset.s3.amazonaws.com/validation/5d6db82b8eeb448f.jpg,https://c8.staticflickr.com/7/6088/6070350644_fc3ac27a81_o.jpg,https://www.flickr.com/photos/robef/6070350644,https://creativecommons.org/licenses/by/2.0/,Rob Faulkner,Innis & Gunn
2a548bd4b973dca8,train,1,https://open-images-dataset.s3.amazonaws.com/validation/2a548bd4b973dca8.jpg,https://c1.staticflickr.com/9/8745/17041657497_0949d2ba20_o.jpg,https://www.flickr.com/photos/dsf/17041657497,https://creativecommons.org/licenses/by/2.0/,Darren Foreman,Manflu
