ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside
554fd125a75491c5,xclick,/m/04dr76w,1,0.0859375,0.225,0,0.22083333,0,0,0,0,0
7e07848e1c0bffdd,xclick,/m/04dr76w,1,0,0.119469024,0.66076696,0.7905605,0,0,0,0,0
a2364c31de73114d,xclick,/m/04dr76w,1,0.14159292,0.3318584,0.10619469,0.8473451,1,0,0,0,0
a2364c31de73114d,xclick,/m/04dr76w,1,0.22861357,0.48082596,0.32743362,0.84513277,1,0,0,0,0
a2364c31de73114d,xclick,/m/04dr76w,1,0.53244835,0.6017699,0,0.15707965,1,1,0,0,0
a2364c31de73114d,xclick,/m/04dr76w,1,0.5516224,0.6961652,0.3539823,0.9004425,1,0,0,0,0
a2364c31de73114d,xclick,/m/04dr76w,1,0.6681416,0.820059,0.090707965,0.7212389,1,0,0,0,0
3d3324b8ac298d83,xclick,/m/04dr76w,1,0.38541666,0.94166666,0,0.565625,0,1,0,0,0
d90df9e98df1fc17,xclick,/m/04dr76w,1,0.5140187,1,0.001396648,0.8310056,1,1,0,0,0
c4e1dfa2575bfd4e,xclick,/m/04dr76w,1,0.06498195,0.36101082,0.009025271,0.9638989,1,0,0,0,0
c4e1dfa2575bfd4e,xclick,/m/04dr76w,1,0.3429603,0.49458483,0.24368231,0.9693141,1,0,0,0,0
c4e1dfa2575bfd4e,xclick,/m/04dr76w,1,0.4765343,0.66787004,0.26534295,0.98736465,1,0,0,0,0
c4e1dfa2575bfd4e,xclick,/m/04dr76w,1,0.6570397,0.8953069,0.27797833,0.99819493,0,0,0,0,0
7d3ed25abc40bbd4,xclick,/m/04dr76w,1,0.019145804,0.15169367,0,0.3436807,0,1,0,0,0
16407cf2533cf584,xclick,/m/04dr76w,1,0.2300885,0.8340708,0.02359882,0.94100296,0,0,0,0,0
c951d0723132bfdd,xclick,/m/04dr76w,1,0.83270675,0.943609,0.8180243,0.9982669,0,1,0,0,0
c951d0723132bfdd,xclick,/m/04dr76w,1,0.93233085,0.9981203,0.7556326,0.982669,1,1,0,0,0
5d6db82b8eeb448f,xclick,/m/04dr76w,1,0.21238938,0.58112097,0,0.9977876,0,1,0,0,0
2a548bd4b973dca8,xclick,/m/04dr76w,1,0.24925373,0.6671642,0,1,0,1,0,0,0
a1119d540ba829e4,xclick,/m/04dr76w,1,0.09375,0.9875,0,0.9984375,0,1,0,0,0
e7ff04aefb2cc102,xclick,/m/04dr76w,1,0.030973451,0.86504424,0.042772863,0.859882,0,0,0,0,0
1b55f9174167a8d3,xclick,/m/04dr76w,1,0,0.028462999,0.32358003,0.43373495,0,0,0,0,0
1b55f9174167a8d3,xclick,/m/04dr76w,1,0.037950665,0.33586338,0.025817556,0.979346,1,0,0,0,0
92eb72d6587bfbf9,xclick,/m/04dr76w,1,0,0.9984375,0,0.99791664,0,1,0,0,0
b465df5c6ae982bf,xclick,/m/04dr76w,1,0.0029498525,0.45132744,0,1,1,1,0,0,0
b465df5c6ae982bf,xclick,/m/04dr76w,1,0.13421829,0.6460177,0.10176991,1,0,1,0,0,0
