image_id,split,source_split,width,height,bottle_count,source_url,original_url,landing_url,license,author,title,sha256
554fd125a75491c5,train,validation,1024,768,1,https://open-images-dataset.s3.amazonaws.com/validation/554fd125a75491c5.jpg,https://farm6.staticflickr.com/7137/7846438062_cba16c9d5f_o.jpg,https://www.flickr.com/photos/bluegenieart/7846438062,https://creativecommons.org/licenses/by/2.0/,Blue Genie,Tejano Capital Monument 55,faaeccb85dcaf3ed3ee4dc5fed2225f320dbc91b212de96dd864e2e08ef78bb4
7e07848e1c0bffdd,train,validation,683,1024,1,https://open-images-dataset.s3.amazonaws.com/validation/7e07848e1c0bffdd.jpg,https://c6.staticflickr.com/3/2810/9703144439_24135f2c58_o.jpg,https://www.flickr.com/photos/chrisfp/9703144439,https://creativecommons.org/licenses/by/2.0/,Chris,Colin Yates Big Band (3),8d9cf2465d54a2ac8cf9b8a75b477251580a33de3fc63b232019e4794c68fab9
a2364c31de73114d,train,validation,1024,683,5,https://open-images-dataset.s3.amazonaws.com/validation/a2364c31de73114d.jpg,https://c6.staticflickr.com/3/2409/2127191649_3093120dfa_o.jpg,https://www.flickr.com/photos/timwilson/2127191649,https://creativecommons.org/licenses/by/2.0/,Tim Wilson,The gift that keeps on giving,a9e2f6f261dcc26c556f7550f48fb3f7ee6318f56e1bd6a959240c13ee2a40f1
3d3324b8ac298d83,train,validation,768,1024,1,https://open-images-dataset.s3.amazonaws.com/validation/3d3324b8ac298d83.jpg,https://farm4.staticflickr.com/3059/3090313054_315ab2272a_o.jpg,https://www.flickr.com/photos/beckmann/3090313054/,https://creativecommons.org/licenses/by/2.0/,Elin B,Vintage Bollinger,be13728ed7f4e24c38ec70eaec4ac60556b88186c91fe01d8abb0e79939b4b7e
d90df9e98df1fc17,train,validation,612,1024,1,https://open-images-dataset.s3.amazonaws.com/validation/d90df9e98df1fc17.jpg,https://farm8.staticflickr.com/4106/5140850299_05635dfea3_o.jpg,https://www.flickr.com/photos/cig/5140850299,https://creativecommons.org/licenses/by/2.0/,Tim Cigelske,Lagunitas A Little Sumpin' Wild Ale,03686408cdf8272c894fcb8643c359ea61bc00966368636e34570ed302b7bd5c
c4e1dfa2575bfd4e,train,validation,1024,1024,4,https://open-images-dataset.s3.amazonaws.com/validation/c4e1dfa2575bfd4e.jpg,https://c7.staticflickr.com/9/8243/8506502894_722914c9d8_o.jpg,https://www.flickr.com/photos/provoost/8506502894/,https://creativecommons.org/licenses/by/2.0/,Sjors Provoost,Chinese and Mongolian wodka,e2da6e4fcc8d70a5a82f8093d7e10aa3b200978e815de399ef355d78ae9ea559
7d3ed25abc40bbd4,train,validation,1024,681,1,https://open-images-dataset.s3.amazonaws.com/validation/7d3ed25abc40bbd4.jpg,https://farm5.staticflickr.com/5241/5315801642_dea08a7bbf_o.jpg,https://www.flickr.com/photos/pftqg/5315801642,https://creativecommons.org/licenses/by/2.0/,Patrick Quinn-Graham,New Years Eve Feast,c6b9cf6f834f959c4b3006a6b3143e976ecbc3ce293ea1d156b7d792f39a4a1c
16407cf2533cf584,train,validation,683,1024,1,https://open-images-dataset.s3.amazonaws.com/validation/16407cf2533cf584.jpg,https://farm5.staticflickr.com/2734/4348296854_49bbd24dc7_o.jpg,https://www.flickr.com/photos/bigburpsx3/4348296854,https://creativecommons.org/licenses/by/2.0/,Andy Nguyen,cK,569396900a0b3ca646d81387745f76745f91bb1f8e9db8323e8d54417ee54e7f
c951d0723132bfdd,train,validation,945,1024,2,https://open-images-dataset.s3.amazonaws.com/validation/c951d0723132bfdd.jpg,https://c6.staticflickr.com/1/499/19983704565_6d44da5d90_o.jpg,https://www.flickr.com/photos/satterwhitec/19983704565,https://creativecommons.org/licenses/by/2.0/,Clint Satterwhite,O50A0307_HDR,f64637cef168ec04eca375e3efd8965463444439de55672c9f1db210a3615964
5d6db82b8eeb448f,train,validation,1024,683,1,https://open-images-dataset.s3.amazonaws.com/validation/5d6db82b8eeb448f.jpg,https://c8.staticflickr.com/7/6088/6070350644_fc3ac27a81_o.jpg,https://www.flickr.com/photos/robef/6070350644,https://creativecommons.org/licenses/by/2.0/,Rob Faulkner,Innis & Gunn,cc6b873f82423f069c234591f0cd5845938724bda8709cead62bcc263a324161
