image,label,confidence,x1,y1,x2,y2
1P9A1048.JPG,office chair,0.9214791655540466,3593.37646484375,2723.09375,5481.43603515625,5367.4560546875
1P9A1048.JPG,computer keyboard,0.8484740853309631,2604.411376953125,3150.051513671875,3162.29638671875,3492.6171875
1P9A1048.JPG,bottle,0.8362222909927368,2363.659912109375,3761.95361328125,2517.19580078125,4213.81298828125
1P9A1048.JPG,computer monitor,0.7697843313217163,2706.666748046875,1954.13427734375,3560.887451171875,2890.878173828125
1P9A1048.JPG,computer monitor,0.7596886157989502,2049.649658203125,2086.957763671875,2736.51513671875,3313.5556640625
1P9A1048.JPG,cardboard box,0.7546386122703552,6405.421875,3406.57861328125,7390.20751953125,4169.2275390625
1P9A1048.JPG,electric kettle,0.6947447657585144,954.9871826171875,3244.739013671875,1505.96533203125,3703.706298828125
1P9A1048.JPG,smartphone,0.6933403611183167,3179.06201171875,3275.002197265625,3557.1337890625,3365.8125
1P9A1048.JPG,computer mouse,0.6536431312561035,2996.5087890625,3077.182373046875,3250.731689453125,3178.300537109375
1P9A1048.JPG,desk,0.6475649476051331,5490.23974609375,2567.482177734375,6757.71142578125,4182.8837890625
1P9A1048.JPG,shopping bag,0.631257176399231,727.7212524414062,3756.44384765625,1574.763427734375,4337.30224609375
1P9A1048.JPG,office chair,0.5831620693206787,4050.433349609375,2291.739013671875,6106.53662109375,4527.13720703125
1P9A1048.JPG,desk,0.5744912624359131,2075.057373046875,2811.167236328125,4426.08447265625,4267.53173828125
1P9A1048.JPG,office chair,0.5475309491157532,5881.2333984375,4901.8662109375,7404.7822265625,5462.677734375
1P9A1048.JPG,insulated water bottle,0.527458906173706,1569.2745361328125,3393.228759765625,2408.282958984375,4489.48291015625
1P9A1048.JPG,paper towel roll,0.4561334550380707,3748.980712890625,3418.42333984375,4417.08935546875,3940.057861328125
1P9A1048.JPG,desktop computer tower,0.435170978307724,3568.611572265625,1996.6151123046875,4371.076171875,2779.651611328125
1P9A1048.JPG,shopping bag,0.42017412185668945,6416.44189453125,3624.253662109375,7013.59375,4347.51123046875
1P9A1048.JPG,office chair,0.31471431255340576,3463.863525390625,2643.794189453125,6106.66259765625,5317.93798828125
1P9A1048.JPG,cardboard box,0.3141368627548218,6573.8095703125,3338.9521484375,7143.67626953125,3530.254638671875
