stage,image,class,model_class_id,confidence,x1,y1,x2,y2
before,1P9A1048.JPG,bottle,39,0.7383379340171814,2361.079833984375,3760.20166015625,2518.764404296875,4218.490234375
before,1P9A1049.JPG,bottle,39,0.9069319367408752,5309.56689453125,3417.56396484375,5485.501953125,4022.06201171875
before,1P9A1049.JPG,bottle,39,0.8943709135055542,5071.87841796875,3368.711181640625,5265.29638671875,3964.842041015625
before,1P9A1049.JPG,bottle,39,0.8871310353279114,4314.54052734375,3317.783447265625,4536.748046875,3976.0947265625
before,1P9A1049.JPG,bottle,39,0.8631309866905212,4595.51806640625,3421.627197265625,4763.1337890625,4024.667724609375
before,1P9A1049.JPG,bottle,39,0.8055092692375183,6768.828125,1859.29248046875,6933.2021484375,2332.96826171875
before,1P9A1049.JPG,bottle,39,0.7670921087265015,5234.2939453125,2352.516357421875,5357.61474609375,2792.9013671875
before,1P9A1049.JPG,bottle,39,0.7554421424865723,7378.591796875,3625.1015625,7623.8603515625,4133.74658203125
before,1P9A1049.JPG,bottle,39,0.7405079007148743,5134.14208984375,2413.99951171875,5261.33056640625,2807.35302734375
before,1P9A1049.JPG,bottle,39,0.6618690490722656,4846.56689453125,2475.166259765625,4977.125,2816.90478515625
before,1P9A1049.JPG,bottle,39,0.6496276259422302,5015.484375,2537.932373046875,5131.70947265625,2815.71240234375
before,1P9A1049.JPG,bottle,39,0.6430594325065613,7296.47412109375,3480.0712890625,7503.4091796875,4031.262939453125
before,1P9A1049.JPG,bottle,39,0.5890636444091797,5554.18994140625,3437.16455078125,5824.82470703125,4053.45263671875
before,1P9A1049.JPG,bottle,39,0.354671835899353,4496.2294921875,2352.9423828125,4624.7138671875,2636.02099609375
before,1P9A1049.JPG,bottle,39,0.3446435034275055,4035.7021484375,2609.134033203125,4142.63037109375,2831.56591796875
before,1P9A1049.JPG,bottle,39,0.285551518201828,4383.28466796875,2346.4208984375,4619.9775390625,2819.74365234375
after,1P9A1048.JPG,bottle,0,0.985880434513092,1554.378173828125,3376.6171875,2406.799072265625,4501.93798828125
after,1P9A1048.JPG,bottle,0,0.9833714365959167,6404.23876953125,3310.965576171875,7396.81982421875,4372.2158203125
after,1P9A1048.JPG,bottle,0,0.951906144618988,4417.52490234375,2267.7197265625,5469.359375,3969.575927734375
after,1P9A1048.JPG,bottle,0,0.9253295063972473,2373.309814453125,3751.067626953125,2503.26611328125,4207.3818359375
after,1P9A1048.JPG,bottle,0,0.8402400612831116,3699.136962890625,3417.128662109375,4431.625,3934.19384765625
after,1P9A1048.JPG,bottle,0,0.8173227310180664,708.9072875976562,3237.43701171875,1594.11376953125,4428.32666015625
after,1P9A1048.JPG,bottle,0,0.6562595367431641,946.4213256835938,3244.7724609375,1297.3065185546875,3692.401611328125
after,1P9A1048.JPG,bottle,0,0.5620875358581543,3539.7021484375,1907.0167236328125,4369.126953125,2776.275634765625
after,1P9A1048.JPG,bottle,0,0.5598830580711365,5122.92626953125,3389.566650390625,6147.33642578125,3857.341552734375
after,1P9A1048.JPG,bottle,0,0.5023164749145508,25.944074630737305,3556.19775390625,657.7556762695312,4183.943359375
after,1P9A1048.JPG,bottle,0,0.48954373598098755,2057.831298828125,1972.27734375,3580.963623046875,2878.342529296875
after,1P9A1048.JPG,bottle,0,0.3374209702014923,3580.02197265625,3372.177001953125,4820.13427734375,4658.60009765625
after,1P9A1049.JPG,bottle,0,0.945403516292572,5073.36962890625,3370.16552734375,5250.08251953125,3948.551025390625
after,1P9A1049.JPG,bottle,0,0.9433398246765137,7426.56689453125,3616.58935546875,7617.93310546875,4124.32763671875
after,1P9A1049.JPG,bottle,0,0.9317418336868286,6768.9755859375,1844.73388671875,6928.833984375,2321.618896484375
after,1P9A1049.JPG,bottle,0,0.9167116284370422,4330.79833984375,3341.95849609375,4517.09130859375,3964.312744140625
after,1P9A1049.JPG,bottle,0,0.9080153107643127,5323.8447265625,3419.763427734375,5463.28857421875,4008.88330078125
after,1P9A1049.JPG,bottle,0,0.9003928303718567,4589.94873046875,3435.889404296875,4754.1865234375,4021.610595703125
after,1P9A1049.JPG,bottle,0,0.8232294917106628,5244.95556640625,2356.824462890625,5341.73779296875,2789.823486328125
after,1P9A1049.JPG,bottle,0,0.8097502589225769,5553.06689453125,3450.526123046875,5720.83447265625,4046.13232421875
after,1P9A1049.JPG,bottle,0,0.7976989150047302,5018.04248046875,2532.558349609375,5118.88037109375,2802.012451171875
after,1P9A1049.JPG,bottle,0,0.7770517468452454,5091.39892578125,1321.3814697265625,5447.97998046875,1588.51904296875
after,1P9A1049.JPG,bottle,0,0.7606005072593689,4843.14501953125,2490.041259765625,4963.35302734375,2800.091064453125
after,1P9A1049.JPG,bottle,0,0.7474573850631714,5126.31103515625,2420.6884765625,5245.2919921875,2798.92822265625
after,1P9A1049.JPG,bottle,0,0.700901985168457,4366.7099609375,2330.02490234375,4609.6787109375,2809.175048828125
after,1P9A1049.JPG,bottle,0,0.6999455094337463,4037.267822265625,2609.0888671875,4145.0595703125,2827.6669921875
after,1P9A1049.JPG,bottle,0,0.6973833441734314,7306.9970703125,3494.947998046875,7464.89599609375,4023.552001953125
after,1P9A1049.JPG,bottle,0,0.6837161183357239,4499.3046875,2356.4921875,4618.68505859375,2805.64111328125
after,1P9A1049.JPG,bottle,0,0.6677353382110596,2055.307861328125,1846.61474609375,3765.3203125,2891.012451171875
after,1P9A1049.JPG,bottle,0,0.6505310535430908,2051.142822265625,636.8744506835938,3066.395751953125,3200.54541015625
after,1P9A1049.JPG,bottle,0,0.5202823281288147,5305.36572265625,3416.7099609375,5433.580078125,3781.13427734375
after,1P9A1049.JPG,bottle,0,0.4919898509979248,4698.7412109375,3326.38525390625,5028.9755859375,3939.381103515625
after,1P9A1049.JPG,bottle,0,0.4820057451725006,7252.3916015625,2164.369384765625,7315.7001953125,2283.848388671875
after,1P9A1049.JPG,bottle,0,0.4234868884086609,1904.7559814453125,2803.12353515625,3566.47998046875,5464.0
after,1P9A1049.JPG,bottle,0,0.35128843784332275,4362.96142578125,2346.6396484375,4541.33447265625,2641.921875
after,1P9A1049.JPG,bottle,0,0.3261607587337494,4315.76416015625,3315.322021484375,4458.88525390625,3671.95849609375
after,1P9A1049.JPG,bottle,0,0.2775335907936096,1078.7325439453125,2998.19384765625,1854.5635986328125,4419.18798828125
after,1P9A1049.JPG,bottle,0,0.27002620697021484,4680.279296875,1374.359130859375,5108.47900390625,1591.2332763671875
